number,chromadb_id,name,product_id,category,manufacturer,material,product_type,thermal_conductivity,fire_classification,density,is_active,extraction_date
35,rockwool_product_130,ROCKWOOL ROCKWOOL tervezési segédlet,130,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
36,rockwool_product_133,ROCKWOOL Roofrock 40,133,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
37,rockwool_product_137,ROCKWOOL Steelrock 040 Plus,137,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
38,rockwool_product_141,ROCKWOOL Techrock ALS,141,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
39,rockwool_product_145,ROCKWOOL Airrock ND FB1,145,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
40,rockwool_product_148,ROCKWOOL Ceilingrock,148,Magastető és tetőtér,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
41,rockwool_product_152,ROCKWOOL Dachrock,152,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
42,rockwool_product_154,ROCKWOOL Durock,154,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
43,rockwool_product_157,ROCKWOOL Fixrock,157,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
44,rockwool_product_160,ROCKWOOL Klimafix,160,Gépészeti szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
45,rockwool_product_164,ROCKWOOL Mx170,164,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
46,rockwool_product_166,ROCKWOOL ROCKWOOL 800,166,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
47,rockwool_product_58,ROCKWOOL CONLIT tx171zvédelmi rendszerek - r,58,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
48,rockwool_product_60,ROCKWOOL Dachrock,60,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
49,rockwool_product_61,ROCKWOOL Deltarock,61,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
50,rockwool_product_63,ROCKWOOL Firerock,63,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
51,rockwool_product_64,ROCKWOOL Fixrock FB1,64,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
52,rockwool_product_65,ROCKWOOL Fixrock,65,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
53,rockwool_product_175,ROCKWOOL Techrock ALS,175,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
54,rockwool_product_66,ROCKWOOL Frontrock S,66,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
55,rockwool_product_68,ROCKWOOL Gép,68,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
56,rockwool_product_69,ROCKWOOL Kivitelez,69,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
57,rockwool_product_71,ROCKWOOL Klimarock,71,Gépészeti szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
58,rockwool_product_72,ROCKWOOL Lapostetős hőszigetelő rendszerek - Terve,72,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
59,rockwool_product_74,ROCKWOOL Multirock Super,74,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
60,rockwool_product_75,ROCKWOOL Mx170SZAKI ADATLAP,75,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
61,rockwool_product_77,ROCKWOOL Rockfall lejt,77,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
62,rockwool_product_172,ROCKWOOL Steprock HD,172,Padló és födém szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
63,rockwool_product_80,ROCKWOOL ROCKWOOL bemutató fxFCzet,80,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
64,rockwool_product_81,ROCKWOOL ROCKWOOL tervez,81,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
65,rockwool_product_84,ROCKWOOL Roofrock 40,84,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
66,rockwool_product_85,ROCKWOOL Roofrock 50,85,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
67,rockwool_product_87,ROCKWOOL Steelrock 035 Plus,87,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
68,rockwool_product_88,ROCKWOOL Steelrock 040 Plus,88,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
69,rockwool_product_89,ROCKWOOL Steprock HD,89,Padlószigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
70,rockwool_product_91,ROCKWOOL Stroprock G,91,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
71,rockwool_product_92,ROCKWOOL Techrock ALS,92,Gépészeti szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
72,rockwool_product_93,ROCKWOOL A bazaltkő természetes erejével,93,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
